unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
MENA,LBY,Libya,MCV1,73,73,73,73,73,73,94,97,98,93,96,98,98,98.0,98.0,98.0,98.0,98.0,97.0,99.0,96.0,91.0,93.0,93.0
Non-programme,LTU,Lithuania,MCV1,87,87,88,90,93,92,94,94,94,93,93,93,94,96.0,96.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,97.0,97.0
Non-programme,LUX,Luxembourg,MCV1,99,99,99,99,99,99,99,99,99,99,99,99,96,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,94.0,94.0,93.0
ESAR,MDG,Madagascar,MCV1,51,44,44,55,60,68,55,62,60,66,64,62,62,66.0,63.0,70.0,81.0,71.0,74.0,79.0,65.0,61.0,59.0,57.0
ESAR,MWI,Malawi,MCV1,87,82,90,90,92,87,83,81,87,85,88,90,96,93.0,92.0,88.0,83.0,85.0,82.0,80.0,77.0,69.0,81.0,73.0
EAPR,MYS,Malaysia,MCV1,96,96,96,95,97,98,96,94,93,92,95,95,95,95.0,95.0,95.0,95.0,95.0,96.0,95.0,93.0,94.0,95.0,96.0
ROSA,MDV,Maldives,MCV1,99,98,97,98,99,99,99,99,99,99,99,98,96,97.0,98.0,97.0,97.0,97.0,97.0,97.0,96.0,97.0,98.0,99.0
WCAR,MLI,Mali,MCV1,73,73,72,62,71,71,70,70,65,61,62,67,72,78.0,73.0,71.0,66.0,68.0,73.0,63.0,57.0,56.0,54.0,49.0
Non-programme,MLT,Malta,MCV1,95,96,90,95,96,96,91,93,89,98,99,93,84,73.0,82.0,78.0,79.0,94.0,86.0,94.0,90.0,65.0,70.0,74.0
EAPR,MHL,Marshall Islands,MCV1,88,81,85,89,85,83,83,75,75,79,79,78,88,97.0,78.0,86.0,94.0,96.0,86.0,70.0,90.0,80.0,64.0,94.0
WCAR,MRT,Mauritania,MCV1,92,84,75,82,75,78,75,73,70,75,80,75,67,67.0,59.0,65.0,67.0,62.0,65.0,73.0,84.0,87.0,58.0,46.0
Non-programme,MUS,Mauritius,MCV1,96,98,87,89,99,99,89,92,99,98,99,99,99,99.0,99.0,98.0,98.0,99.0,98.0,98.0,91.0,84.0,90.0,84.0
LACR,MEX,Mexico,MCV1,76,86,99,92,73,97,76,96,97,97,89,99,98,95.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,96.0
EAPR,FSM,Micronesia (Federated States of),MCV1,86,69,64,79,78,73,76,70,74,83,91,91,92,80.0,86.0,86.0,92.0,83.0,96.0,85.0,91.0,88.0,84.0,85.0
Non-programme,MCO,Monaco,MCV1,88,88,88,88,88,88,88,89,89,90,91,91,91,93.0,92.0,94.0,95.0,94.0,96.0,96.0,97.0,97.0,98.0,98.0
EAPR,MNG,Mongolia,MCV1,96,94,95,97,98,99,99,98,98,98,97,99,98,97.0,94.0,97.0,98.0,99.0,97.0,99.0,98.0,98.0,95.0,92.0
ECAR,MNE,Montenegro,MCV1,24,33,18,24,33,42,58,47,64,76,88,90,91,90.0,86.0,89.0,90.0,90.0,,,,,,
MENA,MAR,Morocco,MCV1,99,99,99,99,99,99,99,99,99,99,99,99,99,98.0,98.0,96.0,95.0,95.0,97.0,95.0,90.0,94.0,96.0,93.0
ESAR,MOZ,Mozambique,MCV1,65,63,62,73,83,83,83,83,83,83,83,83,82,82.0,80.0,77.0,75.0,76.0,78.0,79.0,80.0,77.0,74.0,71.0
EAPR,MMR,Myanmar,MCV1,74,75,44,91,84,93,83,91,84,88,86,84,88,88.0,87.0,82.0,81.0,78.0,84.0,86.0,80.0,77.0,73.0,84.0
ESAR,NAM,Namibia,MCV1,86,89,91,90,80,82,80,75,85,83,82,76,74,75.0,76.0,73.0,69.0,63.0,73.0,70.0,70.0,68.0,58.0,69.0
EAPR,NRU,Nauru,MCV1,98,98,98,98,95,99,95,98,98,98,97,96,99,99.0,99.0,99.0,99.0,99.0,80.0,67.0,53.0,40.0,95.0,8.0
ROSA,NPL,Nepal,MCV1,93,90,90,87,92,91,90,83,85,88,88,86,88,86.0,90.0,79.0,81.0,85.0,74.0,73.0,75.0,71.0,71.0,71.0
Non-programme,NLD,Netherlands (Kingdom of the),MCV1,89,89,93,94,94,93,93,94,95,96,96,96,96,96.0,96.0,96.0,96.0,96.0,95.0,96.0,96.0,95.0,95.0,96.0
Non-programme,NZL,New Zealand,MCV1,89,90,91,91,92,92,93,92,93,93,92,92,93,91.0,89.0,86.0,79.0,82.0,82.0,83.0,84.0,84.0,85.0,85.0
