unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
EAPR,MNG,Mongolia,DTP3,96,95,95,96,98,99,99,99,99,99,98,99,99,96.0,95.0,96.0,95.0,99.0,99.0,99.0,98.0,98.0,95.0,94.0
ECAR,MNE,Montenegro,DTP3,81,80,83,84,85,86,87,89,89,91,94,94,95,94.0,92.0,95.0,92.0,90.0,,,,,,
MENA,MAR,Morocco,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,95.0,97.0,98.0,97.0,91.0,94.0,96.0,95.0
ESAR,MOZ,Mozambique,DTP3,70,55,56,71,85,85,85,85,85,85,82,80,77,74.0,74.0,75.0,75.0,78.0,80.0,83.0,85.0,76.0,73.0,70.0
EAPR,MMR,Myanmar,DTP3,76,71,37,84,90,91,89,90,89,88,75,84,84,90.0,90.0,85.0,86.0,82.0,73.0,82.0,78.0,79.0,73.0,82.0
ESAR,NAM,Namibia,DTP3,83,84,94,93,87,89,88,85,92,88,89,84,82,83.0,83.0,83.0,86.0,86.0,86.0,81.0,79.0,77.0,78.0,79.0
EAPR,NRU,Nauru,DTP3,99,99,98,95,96,90,87,97,91,95,87,79,99,99.0,99.0,99.0,99.0,72.0,80.0,80.0,80.0,80.0,95.0,44.0
ROSA,NPL,Nepal,DTP3,94,90,91,84,93,91,90,87,91,92,92,90,92,82.0,89.0,82.0,82.0,89.0,75.0,80.0,78.0,72.0,72.0,74.0
Non-programme,NLD,Netherlands (Kingdom of the),DTP3,92,93,95,94,94,93,94,95,95,96,97,97,97,97.0,97.0,97.0,97.0,96.0,96.0,98.0,98.0,97.0,97.0,97.0
Non-programme,NZL,New Zealand,DTP3,88,89,90,92,92,93,94,92,92,93,92,93,95,93.0,92.0,89.0,88.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0
LACR,NIC,Nicaragua,DTP3,89,92,87,92,98,98,98,98,98,98,98,98,98,98.0,98.0,97.0,93.0,88.0,86.0,79.0,86.0,85.0,87.0,83.0
WCAR,NER,Niger,DTP3,85,84,82,81,81,79,85,80,84,81,73,71,75,70.0,71.0,67.0,57.0,51.0,45.0,43.0,41.0,39.0,36.0,34.0
WCAR,NGA,Nigeria,DTP3,62,62,62,62,66,61,55,53,42,43,43,42,48,54.0,63.0,53.0,42.0,40.0,36.0,33.0,29.0,25.0,27.0,29.0
EAPR,NIU,Niue,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,85.0,99.0,95.0,99.0,99.0,99.0
ECAR,MKD,North Macedonia,DTP3,86,84,81,84,92,92,91,95,91,95,98,95,96,95.0,96.0,95.0,95.0,93.0,97.0,94.0,96.0,96.0,91.0,95.0
Non-programme,NOR,Norway,DTP3,96,97,97,97,97,96,96,96,95,93,94,95,94,93.0,94.0,94.0,93.0,94.0,91.0,92.0,92.0,93.0,91.0,90.0
MENA,OMN,Oman,DTP3,99,99,99,99,99,99,99,99,99,99,98,98,99,99.0,98.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0
ROSA,PAK,Pakistan,DTP3,86,85,83,80,84,80,75,75,72,69,65,64,63,52.0,52.0,53.0,54.0,59.0,63.0,68.0,66.0,63.0,61.0,59.0
EAPR,PLW,Palau,DTP3,97,94,95,96,97,95,97,98,90,95,99,89,84,69.0,49.0,92.0,94.0,98.0,98.0,98.0,99.0,99.0,98.0,96.0
LACR,PAN,Panama,DTP3,66,82,87,74,88,88,81,86,73,80,80,85,87,94.0,85.0,86.0,85.0,88.0,92.0,95.0,98.0,99.0,99.0,98.0
EAPR,PNG,Papua New Guinea,DTP3,35,37,32,40,35,35,36,46,49,52,60,57,58,55.0,64.0,56.0,66.0,70.0,72.0,62.0,68.0,61.0,55.0,59.0
LACR,PRY,Paraguay,DTP3,71,69,70,79,86,88,91,92,92,93,91,91,92,91.0,86.0,89.0,95.0,98.0,96.0,92.0,86.0,87.0,89.0,86.0
